평점,판매자,구매자,날짜,제목,본문,이미지URL
5,SK하이닉스공식대리점 도우,ian0****,2023-05-21,속도 디자인 다 만족스럽습니다!다만 아쉬운거는... 2테라가 없어서 1테라 2개를 삿다는점..! 그래도 너무 이뻐요,"속도 디자인 다 만족스럽습니다!
다만 아쉬운거는... 2테라가 없어서 1테라 2개를 삿다는점..! 그래도 너무 이뻐요",['https://phinf.pstatic.net/checkout/20230521_198/16846430006965OVx1_JPEG/1684642975179.jpg']
5,SK하이닉스공식대리점 도우,chir****,2023-05-21,용량도 많고 사이즈도 컴팩트해서 휴대하기도 좋고 속도도 빠르고 좋네요,용량도 많고 사이즈도 컴팩트해서 휴대하기도 좋고 속도도 빠르고 좋네요,[]
5,SK하이닉스공식대리점 도우,kkp0****,2023-05-21,사이즈도 작아서 좋고 작동도 빠르게 됩니다정말 좋아요,"사이즈도 작아서 좋고 작동도 빠르게 됩니다
정말 좋아요",['https://phinf.pstatic.net/checkout/20230521_160/1684641391833yKgYl_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,luck****,2023-05-21,빠르다 좋다 다음에도 구매하고싶다,빠르다 좋다 다음에도 구매하고싶다,[]
5,SK하이닉스공식대리점 도우,ilov****,2023-05-21,가볍고 작고 속도감 너무 좋습니다.,가볍고 작고 속도감 너무 좋습니다.,[]
5,SK하이닉스공식대리점 도우,yoon****,2023-05-21,크기도 작고 인식률도 좋습니다.,크기도 작고 인식률도 좋습니다.,['https://phinf.pstatic.net/checkout/20230521_8/1684635545476PPiqW_JPEG/IMG_2662.jpeg']
5,SK하이닉스공식대리점 도우,ekyu****,2023-05-21,역시 믿고 구입하는 잇썹의 정보,역시 믿고 구입하는 잇썹의 정보,[]
5,SK하이닉스공식대리점 도우,whit****,2023-05-21,배송 빠르고 제품도 좋습니다.,배송 빠르고 제품도 좋습니다.,[]
5,SK하이닉스공식대리점 도우,zkff****,2023-05-21,매우만족합니다. 굿이에요.,매우만족합니다. 굿이에요.,"['https://phinf.pstatic.net/checkout/20230521_300/1684671379350GHcXS_JPEG/20230520_115309.jpg', 'https://phinf.pstatic.net/checkout/20230521_256/1684671379423AQthO_JPEG/20230520_115409.jpg']"
4,SK하이닉스공식대리점 도우,thin****,2023-05-21,속도 빠르고 괜찮은 디자인,속도 빠르고 괜찮은 디자인,[]
5,SK하이닉스공식대리점 도우,hyos****,2023-05-21,정말 빠르게 저장되네요,정말 빠르게 저장되네요,['https://phinf.pstatic.net/checkout/20230521_150/16846311522079TTRK_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,wind****,2023-05-21,빠르고 작고 가벼움,빠르고 작고 가벼움,[]
5,SK하이닉스공식대리점 도우,minw****,2023-05-21,배송 빠르고 좋아영,배송 빠르고 좋아영,['https://phinf.pstatic.net/checkout/20230521_132/1684654859872udAKB_JPEG/4E484B13-C9A2-4B7B-B9BE-ED32DC439537.jpeg']
5,SK하이닉스공식대리점 도우,tthh****,2023-05-20,"배송은 하루만에 왔고, 워낙 p31이 마음에 들어서 잇섭 유투브 보고 바로 질렀네요.샌디스크꺼보다 좋은거 같아요.","배송은 하루만에 왔고, 워낙 p31이 마음에 들어서 잇섭 유투브 보고 바로 질렀네요.
샌디스크꺼보다 좋은거 같아요.","['https://phinf.pstatic.net/checkout/20230520_231/1684571184980pKjl2_JPEG/IMG_0633.jpeg', 'https://phinf.pstatic.net/checkout/20230520_5/1684571184954fMWiK_JPEG/IMG_0642.jpeg', 'https://phinf.pstatic.net/checkout/20230520_188/1684571185233quory_JPEG/IMG_0641.jpeg', 'https://phinf.pstatic.net/checkout/20230520_148/1684571185215jkAEL_JPEG/IMG_0634.jpeg', 'https://phinf.pstatic.net/checkout/20230520_112/16845711854773i5st_JPEG/IMG_0640.jpeg']"
5,SK하이닉스공식대리점 도우,ttib****,2023-05-20,리뷰 보니 속도 빠른듯하고 성능은 문제없는듯합니다외형이 호불호가 있을 수 있는데 전 별 감흥 없네요무게는 가볍고 좋네요,"리뷰 보니 속도 빠른듯하고 성능은 문제없는듯합니다
외형이 호불호가 있을 수 있는데 전 별 감흥 없네요
무게는 가볍고 좋네요","['https://phinf.pstatic.net/checkout/20230520_280/1684583150969yweOl_JPEG/IMG_5027.jpeg', 'https://phinf.pstatic.net/checkout/20230520_60/1684583150976HPIhc_JPEG/IMG_5028.jpeg']"
5,SK하이닉스공식대리점 도우,lesg****,2023-05-20,금풍뎅이!!!급하게 옴길때 작으면서 강려크한 놈을 만난거같네요! 잘쓸께요,"금풍뎅이!!!
급하게 옴길때 작으면서 강려크한 놈을 만난거같네요! 잘쓸께요",['https://phinf.pstatic.net/checkout/20230520_221/1684563098035dNLdL_JPEG/1684563089695.jpg']
5,SK하이닉스공식대리점 도우,wngk****,2023-05-20,말 안해도 지금 ssd중에서 이가격은 없는거 같아요.,말 안해도 지금 ssd중에서 이가격은 없는거 같아요.,['https://phinf.pstatic.net/checkout/20230520_169/1684567385716cY6mg_JPEG/D78FEBD9-68DF-4A93-B9F8-8563B0819B7D.jpeg']
5,SK하이닉스공식대리점 도우,muu0****,2023-05-20,사이즈며 성능이며 정말 맘에 듭니다,사이즈며 성능이며 정말 맘에 듭니다,[]
5,SK하이닉스공식대리점 도우,love****,2023-05-20,잘받았습니다 잇섭님 리뷰보고 구매했는데 진짜 좋으네용 최고입니다,잘받았습니다 잇섭님 리뷰보고 구매했는데 진짜 좋으네용 최고입니다,['https://phinf.pstatic.net/checkout/20230520_208/1684557677369jlXvd_JPEG/20230520_124404.jpg']
5,SK하이닉스공식대리점 도우,lhjw****,2023-05-20,배송 빠르고 좋아요~~~~,배송 빠르고 좋아요~~~~,['https://phinf.pstatic.net/checkout/20230520_300/1684552997158FF4UF_JPEG/20230520_094810.jpg']
5,SK하이닉스공식대리점 도우,ysh3****,2023-05-19,안그래도 외장 ssd 용량이 부족해서 기다리고 있다가 잇섭님 영상보고 구매했는데 배송도 빠르고 오자마자 테스트 해보니까 속도도 빨라서 좋아요,안그래도 외장 ssd 용량이 부족해서 기다리고 있다가 잇섭님 영상보고 구매했는데 배송도 빠르고 오자마자 테스트 해보니까 속도도 빨라서 좋아요,['https://phinf.pstatic.net/checkout/20230519_223/1684422077958qN03C_JPEG/20230519_000023.jpg']
5,SK하이닉스공식대리점 도우,jhkk****,2023-05-19,외장하드 전 부터 살려고 마음 만 먹고있었는데 잇섭님 유튜브보고 믿음이가서 바로 구매했어요.일단 컴터연결해보고 이상없는지만 확인했는데 좋은거같아요.잘 쓸께요^^,외장하드 전 부터 살려고 마음 만 먹고있었는데 잇섭님 유튜브보고 믿음이가서 바로 구매했어요.일단 컴터연결해보고 이상없는지만 확인했는데 좋은거같아요.잘 쓸께요^^,['https://phinf.pstatic.net/checkout/20230519_281/1684507000230n4LeP_JPEG/IMG_7339.jpeg']
5,SK하이닉스공식대리점 도우,juny****,2023-05-19,잇섭님 유튜브를 보고 구매를 하게되었습니다.사이즈가 작아서 휴대하기 정말좋고 c to c 와 c to usb 케이블을 모두 줘서 좋은 것 같습니다. 속도도 양호하게 잘 나오고 매우,"잇섭님 유튜브를 보고 구매를 하게되었습니다.
사이즈가 작아서 휴대하기 정말좋고 c to c 와 c to usb 케이블을 모두 줘서 좋은 것 같습니다. 속도도 양호하게 잘 나오고 매우 만족합니다.","['https://phinf.pstatic.net/checkout/20230519_145/1684492413913mSMHH_JPEG/IMG_5352.jpeg', 'https://phinf.pstatic.net/checkout/20230519_129/1684492414608uNIXJ_JPEG/IMG_5354.jpeg', 'https://phinf.pstatic.net/checkout/20230519_62/1684492414877o5qhw_JPEG/IMG_5355.jpeg', 'https://phinf.pstatic.net/checkout/20230519_184/1684492414372cpeoa_JPEG/IMG_5367.jpeg', 'https://phinf.pstatic.net/checkout/20230519_98/1684492414376DprYy_JPEG/IMG_5365.jpeg']"
5,SK하이닉스공식대리점 도우,pooh****,2023-05-19,상품도 좋고 배송도 빨라요 굿강추합니다,"상품도 좋고 배송도 빨라요 굿
강추합니다",[]
5,SK하이닉스공식대리점 도우,hool****,2023-05-19,속도가 빠르고 크기가 작아서 좋네요,속도가 빠르고 크기가 작아서 좋네요,['https://phinf.pstatic.net/checkout/20230519_212/1684457993661LLWyV_JPEG/20230518_201051.jpg']
5,SK하이닉스공식대리점 도우,qus1****,2023-05-19,빠른 배송 상품도 만족스럽습니다,빠른 배송 상품도 만족스럽습니다,[]
5,SK하이닉스공식대리점 도우,ksy0****,2023-05-19,배송이 빠르고 작동이 잘되네요,배송이 빠르고 작동이 잘되네요,[]
5,SK하이닉스공식대리점 도우,bell****,2023-05-19,배송도 빠르고 성능도 좋습니다,배송도 빠르고 성능도 좋습니다,['https://phinf.pstatic.net/checkout/20230519_43/16844726644277DV7Y_JPEG/20230519_140312.jpg']
4,11번가,jo******,2023-05-19,좋아요,광고처럼 빛나디않아서 좀 실망,[]
5,컴퓨존,dsoa****,2023-05-19,속도도 빠르고 이뿌고 좋아요!!,속도도 빠르고 이뿌고 좋아요!!,['https://phinf.pstatic.net/checkout/20230519_89/1684476906523Iep3n_JPEG/20230519_151309.jpg']
5,SK하이닉스공식대리점 도우,anga****,2023-05-19,배송빠르고 좋아여 잘쓸게여,배송빠르고 좋아여 잘쓸게여,[]
5,컴퓨존,lcer****,2023-05-19,좋아요 좋군요 좋습니다!!!,좋아요 좋군요 좋습니다!!!,['https://phinf.pstatic.net/checkout/20230519_259/1684493857168FuomT_JPEG/IMG_4719.jpeg']
5,SK하이닉스공식대리점 도우,apq3****,2023-05-19,빠른 배송에 만족합니다.,빠른 배송에 만족합니다.,['https://phinf.pstatic.net/checkout/20230519_143/1684451351897zo4bk_JPEG/11.JPG']
5,SK하이닉스공식대리점 도우,pkpk****,2023-05-19,배송도 빠르고 좋아요,배송도 빠르고 좋아요,['https://phinf.pstatic.net/checkout/20230519_7/1684481098561dI4Bn_JPEG/1684481080802.jpg']
5,SK하이닉스공식대리점 도우,boy_****,2023-05-19,깔끔하게 잘 왔어요,깔끔하게 잘 왔어요,"['https://phinf.pstatic.net/checkout/20230519_71/1684484674615qCk67_JPEG/20230519_172306.jpg', 'https://phinf.pstatic.net/checkout/20230519_43/16844846854472BQ4g_JPEG/20230519_172257.jpg']"
5,옥션,h*n*****,2023-05-19,감사합니다.,감사합니다.,[]
5,SK하이닉스공식대리점 도우,samj****,2023-05-19,1테라 메모리인데 엄청 작아서 놀랐습니다. 가격도 나쁘지 않고 메모리가격이 싸다는데 이번에 구매하기 좋은 적기인거 같습니다.,1테라 메모리인데 엄청 작아서 놀랐습니다. 가격도 나쁘지 않고 메모리가격이 싸다는데 이번에 구매하기 좋은 적기인거 같습니다.,[]
5,SK하이닉스공식대리점 도우,nam2****,2023-05-19,디자인 이쁩니다성능도 괜춘합니다,"디자인 이쁩니다
성능도 괜춘합니다",['https://phinf.pstatic.net/checkout/20230519_235/1684465692918fcwcF_JPEG/20230518_205721.jpg']
5,SK하이닉스공식대리점 도우,baia****,2023-05-19,속도가 빠릅니다.크기도 작습니다.,"속도가 빠릅니다.
크기도 작습니다.",[]
5,SK하이닉스공식대리점 도우,last****,2023-05-18,"마침 필요하다 생각하고 있기도 했던 차에 잇섭님의 광고를 보고 바로 구매 결정. 하루만에 받았습니다. 자세한 상품평은 잇섭님이 다 하셨지만, 일반적?으로 외장하드를 사용하는 사람","마침 필요하다 생각하고 있기도 했던 차에 잇섭님의 광고를 보고 바로 구매 결정. 하루만에 받았습니다. 자세한 상품평은 잇섭님이 다 하셨지만, 일반적?으로 외장하드를 사용하는 사람 입장으로서는 컴팩트함이 주는 장점이 가장 큰 것 같습니다. 무선이어폰 충전케이스 정도되는 크기의 빠른 1Tb 외장하드. 어제 주문해서 오늘 받은지라 더 써봐야 자세히 알 수 있겠습니다만, 외부에서 데이터 작업을 할 일이 많은 저로서는 내일이 많이 기대됩니다.","['https://phinf.pstatic.net/checkout/20230518_172/16843830129469TiDs_JPEG/20230518_122506.jpg', 'https://phinf.pstatic.net/checkout/20230518_143/1684383023958WQ8uH_JPEG/20230518_122738.jpg', 'https://phinf.pstatic.net/checkout/20230518_198/1684383032490XpIn4_JPEG/1684382800920.jpg', 'https://phinf.pstatic.net/checkout/20230518_36/1684383049013snmHI_JPEG/20230518_122932.jpg']"
5,SK하이닉스공식대리점 도우,qhdr****,2023-05-18,잇섭님 유트브 보고 외장SSD찾다가 바로 구매했는데 하루만에 왔네요 ㅎㅎ 크기도 앙증맞아서 휴대성도 좋고 전문가가 아니라 빠른건지 모르겠지만 7기가 정도 되는 용량 옮겨 봤는데 1,"잇섭님 유트브 보고 외장SSD찾다가 바로 구매했는데 하루만에 왔네요 ㅎㅎ 크기도 앙증맞아서 휴대성도 좋고 전문가가 아니라 빠른건지 모르겠지만 7기가 정도 되는 용량 옮겨 봤는데 10초도 안걸리네요! 저는 완전 맘에 들어요 용량도 1테라라 넉넉하고
아 동봉된 범퍼 케이스랑 케이블은 재질 때문에 때가 잘 탈것 같지만 그거 빼곤 좋아요 ㅋㅋ
잘 써보겠습니다!","['https://phinf.pstatic.net/checkout/20230518_264/1684382424829jMTad_JPEG/98F80A47-0614-4396-B04C-4955906698FB.jpeg', 'https://phinf.pstatic.net/checkout/20230518_64/1684382425137nEj4J_JPEG/43B80646-B8B5-4441-B0BF-CE0F899D3215.jpeg', 'https://phinf.pstatic.net/checkout/20230518_67/1684382425444BkvRd_JPEG/8704B66D-0FED-4617-B7E4-8436DCC17B8D.jpeg']"
4,SK하이닉스공식대리점 도우,sene****,2023-05-18,작동 잘 되며 자료 백업용으로 샀습니다.315기가 옴기는데 빠르긴 하네요.남들은 전기 공급 문제로 HDD에 보관 하라고 하는데아니 그냥 몇달에 한번씩 연결하면 될텐데 뭐가 문제인지,"작동 잘 되며 자료 백업용으로 샀습니다.
315기가 옴기는데 빠르긴 하네요.
남들은 전기 공급 문제로 HDD에 보관 하라고 하는데
아니 그냥 몇달에 한번씩 연결하면 될텐데 뭐가 문제인지 잘..모르겠네요.
불만인점은 기본 부속 된 캐이블 너무짧아서 불만이네요 컴퓨터에 연결하니 들려요","['https://phinf.pstatic.net/checkout/20230518_156/1684379921338Tr6sf_JPEG/20230518_121652.jpg', 'https://phinf.pstatic.net/checkout/20230518_28/1684379921305uKmB7_JPEG/20230518_120457.jpg']"
5,SK하이닉스공식대리점 도우,cosm****,2023-05-18,사이즈 작고 아담하고 디자인도 잡기 편할 뿐만 아니라 둥근게 귀엽습니다.제품 마감 상태도 좋고 작동도 이상없이 잘 됩니다속도 측정은 아직 못했는데 믿고 사용할수 있을것같습니다,"사이즈 작고 아담하고 디자인도 잡기 편할 뿐만 아니라 둥근게 귀엽습니다.
제품 마감 상태도 좋고 작동도 이상없이 잘 됩니다
속도 측정은 아직 못했는데 믿고 사용할수 있을것같습니다",['https://phinf.pstatic.net/checkout/20230518_273/1684420646369FPJJP_JPEG/1684420608459.jpg']
5,SK하이닉스공식대리점 도우,kms8****,2023-05-18,"잇섭님 유투브 보고 구매하게되었는데, 와 진짜 디자인 미친거같아용, 아직 사용전이라 여기까지 ㅎ","잇섭님 유투브 보고 구매하게되었는데, 와 진짜 디자인 미친거같아용, 아직 사용전이라 여기까지 ㅎ","['https://phinf.pstatic.net/checkout/20230518_223/1684418830478CernC_JPEG/20230518_225505.jpg', 'https://phinf.pstatic.net/checkout/20230518_283/1684418845927Q1iMG_JPEG/20230518_225928.jpg', 'https://phinf.pstatic.net/checkout/20230518_222/1684418853120BlNPB_JPEG/20230518_230145.jpg', 'https://phinf.pstatic.net/checkout/20230518_222/1684418867042tzwfT_JPEG/20230518_225829.jpg']"
5,SK하이닉스공식대리점 도우,cmj1****,2023-05-18,하이닉스 제품이라 믿고 샀어요~색깔이 하나라 아쉽긴 하지만 다른 부분들은 모두 만족스러워요,"하이닉스 제품이라 믿고 샀어요~
색깔이 하나라 아쉽긴 하지만 다른 부분들은 모두 만족스러워요",['https://phinf.pstatic.net/checkout/20230518_47/16843988272321I5bu_JPEG/IMG_6455.jpeg']
5,SK하이닉스공식대리점 도우,dora****,2023-05-18,속도가 듣던데로 너무 좋고 들고 다니기도 좋아서 완전 가성비 아이템입니다!,속도가 듣던데로 너무 좋고 들고 다니기도 좋아서 완전 가성비 아이템입니다!,"['https://phinf.pstatic.net/checkout/20230518_53/1684382390270Mv6D1_JPEG/IMG_6948.jpeg', 'https://phinf.pstatic.net/checkout/20230518_247/1684382390465vpdza_JPEG/IMG_6947.jpeg']"
5,SK하이닉스공식대리점 도우,yuny****,2023-05-18,유튜브 리뷰보고 구매했어요사이즈가 매우 작아 휴대하기 우수할거 같아요,"유튜브 리뷰보고 구매했어요
사이즈가 매우 작아 휴대하기 우수할거 같아요",['https://phinf.pstatic.net/checkout/20230518_231/1684403240722bnxDV_JPEG/20230518_154937.jpg']
5,SK하이닉스공식대리점 도우,hemi****,2023-05-18,잇섭 보고 샀는데 진짜 싸게 잘산것같습니다엄청 잘팔릴듯해요,"잇섭 보고 샀는데 진짜 싸게 잘산것같습니다
엄청 잘팔릴듯해요",['https://phinf.pstatic.net/checkout/20230518_127/1684381814410eeGUv_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,kjc3****,2023-05-18,아직 못 받았지만 믿고 확정 눌렀습니다잘 사용할게요 ^^,"아직 못 받았지만 믿고 확정 눌렀습니다
잘 사용할게요 ^^",[]
5,SK하이닉스공식대리점 도우,h0y1****,2023-05-18,오오 좋아요 잇섭보고ㅜ시킴 작고 빠름,오오 좋아요 잇섭보고ㅜ시킴 작고 빠름,['https://phinf.pstatic.net/checkout/20230518_246/1684367780124aXrTu_JPEG/20230518_085542.jpg']
5,SK하이닉스공식대리점 도우,soap****,2023-05-18,가격대비 디자인 성능 크기 좋습니다,가격대비 디자인 성능 크기 좋습니다,['https://phinf.pstatic.net/checkout/20230518_178/1684385577412c7fTe_JPEG/KakaoTalk_20230518_135223235.jpg']
5,SK하이닉스공식대리점 도우,wppo****,2023-05-18,배송 빠르고 제품 퀄리티도 좋아요,배송 빠르고 제품 퀄리티도 좋아요,[]
5,SK하이닉스공식대리점 도우,tren****,2023-05-18,좋아요...빠르고 가격조 궨찮구....,"좋아요...
빠르고 가격조 궨찮구....",[]
5,G마켓,o*i*****,2023-05-18,beetle x31,beetle x31 속도가 빨라서 좋네요,"['https://shopping-phinf.pstatic.net/20230521_18/c3028ea2-d5e5-4e27-b660-b35e27dc3a25.jpg', 'https://shopping-phinf.pstatic.net/20230521_27/cbac8fd2-a8fb-428b-9e7a-fabca29b4654.jpg']"
5,SK하이닉스공식대리점 도우,sazo****,2023-05-18,빠른 배송에 감사를 드립니다,빠른 배송에 감사를 드립니다,['https://phinf.pstatic.net/checkout/20230518_160/1684375445143wfTF3_JPEG/IMG_4086.jpeg']
5,SK하이닉스공식대리점 도우,geon****,2023-05-18,빠르게도착햇네요잘쓸게요,"빠르게도착햇네요
잘쓸게요",['https://phinf.pstatic.net/checkout/20230518_155/1684408990541vCSDA_JPEG/20230518_200310.jpg']
5,SK하이닉스공식대리점 도우,whit****,2023-05-18,잇섭보고 삽니다.제품은 완전 만족함 완전 좋음 가격이 엄청 착해졌네요,"잇섭보고 삽니다.
제품은 완전 만족함 완전 좋음
가격이 엄청 착해졌네요",[]
5,SK하이닉스공식대리점 도우,jaer****,2023-05-18,좋아요 작고 가벼워요,좋아요 작고 가벼워요,[]
5,SK하이닉스공식대리점 도우,ashl****,2023-05-18,"배송빠르고 좋습니다,","배송빠르고 좋습니다,",[]
5,SK하이닉스공식대리점 도우,upl9****,2023-05-18,대만족 합니다^^ :),대만족 합니다^^ :),['https://phinf.pstatic.net/checkout/20230518_212/1684418605776ivqIG_JPEG/IMG_5047.jpeg']
5,SK하이닉스공식대리점 도우,jong****,2023-05-18,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,[]
