평점,판매자,구매자,날짜,제목,본문,이미지URL
5,SK하이닉스공식대리점 도우,park****,2023-05-31,좋네요 잘쓰겠습니다 많이 파세요,좋네요 잘쓰겠습니다 많이 파세요,['https://phinf.pstatic.net/checkout/20230531_173/1685511889296vanLT_JPEG/20230531_141018.jpg']
5,SK하이닉스공식대리점 도우,smlo****,2023-05-31,배송빠르고 포장도 잘했네요~,배송빠르고 포장도 잘했네요~,['https://phinf.pstatic.net/checkout/20230531_229/16855202662211xuN5_JPEG/ssd.jpg']
5,SK하이닉스공식대리점 도우,hsmg****,2023-05-31,제품 빠르게 잘 받았습니다,제품 빠르게 잘 받았습니다,[]
4,SK하이닉스공식대리점 도우,weon****,2023-05-31,작은데 성능이 괜찮아요,작은데 성능이 괜찮아요,['https://phinf.pstatic.net/checkout/20230531_166/1685537210862EyfYf_JPEG/1685537196766.jpg']
5,옥션,w*n*****,2023-05-31,좋아요,좋아요,['https://shopping-phinf.pstatic.net/20230603_24/f0d97c1c-8d1a-4b64-8dd4-64a98115e663.jpg']
5,SK하이닉스공식대리점 도우,medi****,2023-05-30,작고 가벼워서 휴대성 👍 속도도 만족스럽고 디자인은 심플한게 제 취향이네요 가추합니다,작고 가벼워서 휴대성 👍 속도도 만족스럽고 디자인은 심플한게 제 취향이네요 가추합니다,['https://phinf.pstatic.net/checkout/20230530_149/1685445722351aJgN1_JPEG/PayApp_20230530_202151_3997775470955999063.jpg']
5,SK하이닉스공식대리점 도우,kang****,2023-05-30,속도도 빠른것 같고 크기도 작아서 좋아요,속도도 빠른것 같고 크기도 작아서 좋아요,['https://phinf.pstatic.net/checkout/20230530_62/16854555484935usjw_JPEG/20230523_123445.jpg']
5,SK하이닉스공식대리점 도우,sash****,2023-05-30,딱정벌레 한마리가 왔네요 ㅎㅎ 귀여워용,딱정벌레 한마리가 왔네요 ㅎㅎ 귀여워용,['https://phinf.pstatic.net/checkout/20230530_60/1685426101176fVXen_JPEG/20230530_113641.jpg']
5,SK하이닉스공식대리점 도우,naba****,2023-05-30,배송은 보통. 제품은 좋다고 생각합니다. 보호케이스는 좋은 아이디어입니다.,배송은 보통. 제품은 좋다고 생각합니다. 보호케이스는 좋은 아이디어입니다.,[]
2,SK하이닉스공식대리점 도우,side****,2023-05-30,제품이 생각보다 가볍지 않네요..,제품이 생각보다 가볍지 않네요..,['https://phinf.pstatic.net/checkout/20230530_29/1685452979078FWdWa_JPEG/20230523_133331.jpg']
5,SK하이닉스공식대리점 도우,nowo****,2023-05-30,빠른배송과 디자인 좋아요,빠른배송과 디자인 좋아요,[]
5,SK하이닉스공식대리점 도우,ks01****,2023-05-30,걱정없이 잘 쓸거같아요,걱정없이 잘 쓸거같아요,[]
